type,display_name,sub_type,brand,product,abv,age
Garnish,Allspice,Spice,,,,
Garnish,Almonds,Nuts,,,,
Garnish,Apple Slices,Fruit,,,,
Garnish,Apricots,Fruit,,,,
Garnish,Baking Soda,Baking Soda,,,,
Garnish,Bitter Almonds,Nuts,,,,
Garnish,Blueberries,Fruit,,,,
Garnish,Butter,Butter,,,,
Garnish,Cherries,Fruit,,,,
Garnish,Chocolate,Chocolate,,,,
Garnish,Cinnamon,Spice,,,,
Garnish,Cloves,Spice,,,,
Garnish,Coriander Seeds,Spice,,,,
Garnish,Cream of Tartar,Cream of Tartar,,,,
Garnish,Cucumber Rinds,Fruit,,,,
Garnish,Cucumber Slices,Fruit,,,,
Garnish,Dried Peaches,Fruit,,,,
Garnish,Egg Whites,Egg,,,,
Garnish,Egg Yolks,Egg,,,,
Garnish,Eggs,Egg,,,,
Garnish,Figs,Fruit,,,,
Garnish,Ginger,Spice,,,,
Garnish,Grapes,Fruit,,,,
Garnish,Lemon Peels,Citrus,,,,
Garnish,Lime Peels,Citrus,,,,
Garnish,Maraschino Cherries,Fruit,,,,
Garnish,Mint Leaves,Herb,,,,
Garnish,Mint Sprigs,Herb,,,,
Garnish,Nutmeg,Spice,,,,
Garnish,Peach Extract,Extract,,,,
Garnish,Pineapple Slices,Fruit,,,,
Garnish,Raisins,Fruit,,,,
Garnish,Raspberries,Fruit,,,,
Garnish,Sour Cherries,Fruit,,,,
Garnish,Strawberries,Fruit,,,,
Garnish,Tansy,Herb,,,,
Garnish,Vanilla Extract,Extract,,,,
Garnish,Verbena Sprigs,Herb,,,,
Garnish,White Chocolate,Chocolate,,,,
Garnish,Wormwood Sprigs,Herb,,,,
Modifier,Ale,Beer,,,,
Modifier,Anisette,Liqueur,,,0.25,
Modifier,Apple Cider,Fruit Juice,,,,
Modifier,Arrack,Liqueur,,,0.4,
Modifier,Beef-Tea,Tea,,,,
Modifier,Bilberry Juice,Fruit Juice,,,,
Modifier,Bitters,Bitters,,,0.45,
Modifier,Black Tea,Tea,,,,
Modifier,Burgundy,Wine,,,0.12,
Modifier,Calisaya Bitters,Bitters,,,0.45,
Modifier,Champagne,Champagne,,,0.12,
Modifier,Chartreuse,Liqueur,,,0.55,
Modifier,Chianti,Wine,,,0.12,
Modifier,Claret,Rose Wine,,,0.141,
Modifier,Coffee,Coffee,,,,
Modifier,Crème de Menthe,Liqueur,,,0.18,
Modifier,Crème de Violette,Liqueur,,,0.18,
Modifier,Curaçao,Liqueur,,,0.15,
Modifier,Dry Vermouth,Fortified Wine,,,0.16,
Modifier,Fernet-Branca,Bitters,Fernet-Branca,Fernet-Branca,0.39,
Modifier,Fresh Cream,Cream,,,,
Modifier,Gooseberry Juice,Fruit Juice,,,,
Modifier,Green Chartreuse,Liqueur,,,0.55,
Modifier,Green Tea,Tea,,,,
Modifier,Ice,Ice,,,,
Modifier,Kümmel,Liqueur,,,0.4,
Modifier,Lemon Juice,Citrus,,,,
Modifier,Lemon Slices,Citrus,,,,
Modifier,Lemons,Citrus,,,,
Modifier,Lime Juice,Citrus,,,,
Modifier,Lime Slices,Citrus,,,,
Modifier,Limes,Citrus,,,,
Modifier,Madeira,Fortified Wine,,,0.19,
Modifier,Maraschino,Liqueur,,,0.32,
Modifier,Milk,Milk,,,,
Modifier,Moselle,Wine,,,,
Modifier,Orange Bitters,Bitters,,,0.45,
Modifier,Orange Slices,Citrus,,,,
Modifier,Oranges,Citrus,,,,
Modifier,Pineapple Juice,Fruit Juice,,,,
Modifier,Port,Fortified Wine,,,0.2,
Modifier,Porter,Beer,,,,
Modifier,Pousse Café,Liqueur,,,0.55,
Modifier,Quince Juice,Fruit Juice,,,,
Modifier,Raspberry Juice,Fruit Juice,,,,
Modifier,Red Wine,Red Wine,,,0.135,
Modifier,Rhine Wine,Wine,,,0.12,
Modifier,Sauternes,Sweet Wine,,,0.13,
Modifier,Seltzer Water,Seltzer Water,,,,
Modifier,Shaved Ice,Ice,,,,
Modifier,Sherry,Fortified Wine,,,0.18,
Modifier,Soda Water,Soda Water,,,,
Modifier,Sparkling Wine,Sparkling Wine,,,0.12,
Modifier,Sweet Vermouth,Fortified Wine,,,0.16,
Modifier,Tea,Tea,,,,
Modifier,Tonic Water,Tonic Water,,,,
Modifier,Vanilla Liqueur,Liqueur,,,0.55,
Modifier,Vermouth,Fortified Wine,,,,
Modifier,Vinegar,Vinegar,,,,
Modifier,Water,Water,,,,
Modifier,White Wine,White Wine,,,0.1,
Modifier,Yellow Chartreuse,Liqueur,,,0.55,
Spirit,Absinthe,Absinthe,,,0.6,
Spirit,Apple Whiskey,Whiskey,,,0.4,
Spirit,Applejack,Brandy,,,0.4,
Spirit,Bourbon,Bourbon,,,0.4,
Spirit,Brandy,Brandy,,,0.475,
Spirit,Cider Brandy,Brandy,,,0.4,
Spirit,Cognac,Cognac,,,0.4,
Spirit,Dark Rum,Rum,,,0.4,
Spirit,Gin,Gin,,,0.4,
Spirit,Glenlivet Founder's Reserve,Scotch Whisky,The Glenlivet,Founder's Reserve Single Malt Scotch Whisky,0.4,
Spirit,Hollands,Jenever Gin,,,0.4,
Spirit,Irish Whiskey,Irish Whiskey,,,0.4,
Spirit,Islay Whiskey,Whiskey,,,,
Spirit,Jamaican Rum,Rum,,,0.63,
Spirit,Jenever,Jenever Gin,,,0.4,
Spirit,Kirschwasser,Brandy,,,0.4,
Spirit,Light Rum,Rum,,,0.4,
Spirit,London Dry Gin,London Dry Gin,,,0.4,
Spirit,Monongahela,Rye Whiskey,,,0.5,
Spirit,Old Tom Gin,Old Tom Gin,,,0.4,
Spirit,Rum,Rum,,,0.4,
Spirit,Rye Whiskey,Rye Whiskey,,,0.4,
Spirit,Santa Cruz Rum,Rum,,,0.4,
Spirit,Scotch,Scotch,,,0.4,
Spirit,Single Malt Scotch Whisky,Scotch Whisky,,,0.4,
Spirit,Vodka,Vodka,,,0.4,
Spirit,Whiskey,Whiskey,,,0.45,
Sugar,Brown Sugar,Sugar,,,,
Sugar,Capillaire,Syrup,,,,
Sugar,Ginger Syrup,Syrup,,,,
Sugar,Gomme Syrup,Syrup,,,,
Sugar,Granulated Sugar,Sugar,,,,
Sugar,Gum Syrup,Syrup,,,,
Sugar,Honey,Honey,,,,
Sugar,Lemon Syrup,Syrup,,,,
Sugar,Lump Sugar,Sugar,,,,
Sugar,Molasses,Molasses,,,,
Sugar,Orgeat Syrup,Syrup,,,,
Sugar,Pineapple Syrup,Syrup,,,,
Sugar,Powdered Sugar,Sugar,,,,
Sugar,Raspberry Syrup,Syrup,,,,
Sugar,Simple Syrup,Syrup,,,,
Sugar,Strawberry Syrup,Syrup,,,,
Sugar,Sugar,Sugar,,,,
Sugar,Superfine Sugar,Sugar,,,,
Sugar,Violet Syrup,Syrup,,,,